epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,565.379,0.5887,0.5078,0.00219,0.89294,0.879,0.9497,0.87973,0.44786,0.40679,0.00243,0.000175178,0.000175178,0.000175178
80,572.139,0.58687,0.51104,0.0021,0.92296,0.85293,0.9497,0.89211,0.40209,0.39852,0.00219,0.000167565,0.000167565,0.000167565
81,578.886,0.5839,0.5121,0.00212,0.89158,0.88672,0.94774,0.88674,0.4255,0.40329,0.00232,0.000159952,0.000159952,0.000159952
82,585.793,0.60119,0.51681,0.00216,0.93012,0.86156,0.95027,0.88529,0.41704,0.39479,0.00226,0.000152339,0.000152339,0.000152339
83,592.56,0.59194,0.50469,0.00211,0.92032,0.86759,0.94945,0.894,0.4024,0.39626,0.00219,0.000144726,0.000144726,0.000144726
84,599.358,0.57007,0.48456,0.00201,0.92454,0.87756,0.95123,0.88058,0.45269,0.40113,0.00253,0.000137113,0.000137113,0.000137113
85,606.092,0.58561,0.50464,0.0021,0.8931,0.91036,0.95165,0.90147,0.38818,0.38285,0.00212,0.0001295,0.0001295,0.0001295
86,612.922,0.57413,0.49056,0.00204,0.90973,0.88258,0.95251,0.88971,0.42072,0.38935,0.00234,0.000121887,0.000121887,0.000121887
87,619.67,0.57044,0.48336,0.00208,0.91463,0.88025,0.95267,0.90148,0.38468,0.38166,0.0021,0.000114273,0.000114273,0.000114273
88,626.481,0.57104,0.49512,0.00203,0.89296,0.90184,0.95134,0.89562,0.40176,0.38593,0.00218,0.00010666,0.00010666,0.00010666
89,633.227,0.55493,0.4625,0.00197,0.87406,0.9105,0.95012,0.88901,0.40574,0.38624,0.00219,9.90472e-05,9.90472e-05,9.90472e-05
90,639.997,0.55204,0.48215,0.00205,0.88965,0.91366,0.95182,0.90183,0.38241,0.37718,0.00206,9.14341e-05,9.14341e-05,9.14341e-05
91,647.187,0.46959,0.45146,0.00198,0.89853,0.8996,0.95163,0.8919,0.40728,0.38666,0.00219,8.3821e-05,8.3821e-05,8.3821e-05
92,653.738,0.48144,0.46406,0.002,0.90632,0.90638,0.95268,0.86322,0.4969,0.41398,0.00279,7.62079e-05,7.62079e-05,7.62079e-05
93,660.276,0.46615,0.45544,0.00199,0.89256,0.91015,0.95264,0.89097,0.41674,0.39142,0.00227,6.85948e-05,6.85948e-05,6.85948e-05
94,666.841,0.47154,0.44785,0.00189,0.88666,0.91719,0.95195,0.88364,0.43498,0.4007,0.00238,6.09817e-05,6.09817e-05,6.09817e-05
95,673.5,0.44186,0.43622,0.00182,0.887,0.91067,0.95035,0.88314,0.4277,0.39776,0.00234,5.33686e-05,5.33686e-05,5.33686e-05
96,680.069,0.45056,0.434,0.00183,0.88388,0.91592,0.95053,0.89011,0.41234,0.39096,0.00223,4.57555e-05,4.57555e-05,4.57555e-05
97,686.625,0.43732,0.43158,0.00175,0.8837,0.92012,0.949,0.88565,0.43073,0.39707,0.00234,3.81424e-05,3.81424e-05,3.81424e-05
98,693.201,0.43441,0.42809,0.00181,0.88934,0.91417,0.94918,0.89029,0.42205,0.39357,0.0023,3.05293e-05,3.05293e-05,3.05293e-05
99,699.741,0.42342,0.42965,0.00175,0.89067,0.90817,0.95055,0.89243,0.4136,0.38775,0.00226,2.29162e-05,2.29162e-05,2.29162e-05
100,706.304,0.42559,0.41327,0.00175,0.8956,0.90592,0.94936,0.88931,0.41803,0.38873,0.00228,1.53031e-05,1.53031e-05,1.53031e-05
